"","x"
"1","K4EJG5|K4EJG5_ERISI"
"2","A0A0P4WFR3|A0A0P4WFR3_SCYOL"
"3","A0A0N7ZDN1|A0A0N7ZDN1_SCYOL"
"4","D9IG67|D9IG67_ERISI"
"5","A0A5B7DES9|A0A5B7DES9_PORTR"
"6","A0A0P4W3T4|A0A0P4W3T4_SCYOL"
"7","sp|P84293|HCY2_CARAE"
"8","sp|C0HLU8|HCY_SCYSE"
"9","A0A3R7MNM6|A0A3R7MNM6_PENVA"
"10","A0A0P4WF84|A0A0P4WF84_SCYOL"
"11","A0A0P4WK05|A0A0P4WK05_SCYOL"
"12","A0A0P4VS89|A0A0P4VS89_SCYOL"
"13","A0A0P4VYV5|A0A0P4VYV5_SCYOL"
"14","A0A553NPY7|A0A553NPY7_TIGCA"
"15","A0A068J627|A0A068J627_ERISI"
"16","A0A0P4W1N3|A0A0P4W1N3_SCYOL"
"17","A0A6A7G3C7|A0A6A7G3C7_9CRUS"
"18","A0A2P2IDZ3|A0A2P2IDZ3_9CRUS"
"19","A0A8B7P286|A0A8B7P286_HYAAZ"
"20","A0A0P4W855|A0A0P4W855_SCYOL"
"21","A0A0P4W3C8|A0A0P4W3C8_SCYOL"
"22","A0A0P4VY42|A0A0P4VY42_SCYOL"
"23","H9C3G6|H9C3G6_SCYPA"
"24","A0A0P4X0R7|A0A0P4X0R7_SCYOL"
"25","A0A0M5J900|A0A0M5J900_SCYPA"
"26","K7P5U0|K7P5U0_ERISI"
"27","J7I3M4|J7I3M4_PORTR"
"28","A0A385L4G6|A0A385L4G6_PROCL"
"29","A0A0P4WLJ6|A0A0P4WLJ6_SCYOL"
"30","K9J9T6|K9J9T6_SCYPA"
"31","D6MXQ4|D6MXQ4_ERISI"
"32","A0A5B7E8T1|A0A5B7E8T1_PORTR"
"33","A0A0N7ZBP3|A0A0N7ZBP3_SCYOL"
"34","A0A0P4W9G8|A0A0P4W9G8_SCYOL"
"35","A0A0P4VV99|A0A0P4VV99_SCYOL"
"36","A0A0P4W278|A0A0P4W278_SCYOL"
"37","C4N5V0|C4N5V0_ERISI"
"38","A0A4D7AVC7|A0A4D7AVC7_ERISI"
"39","A0A0P4WFP8|A0A0P4WFP8_SCYOL"
"40","A0A5B7DM46|A0A5B7DM46_PORTR"
"41","A0A2S1TY87|A0A2S1TY87_ERISI"
"42","A0A140CZC6|A0A140CZC6_ERISI"
"43","A0A423U2L6|A0A423U2L6_PENVA"
"44","I6LWU2|I6LWU2_ERISI"
